employee_id,age,gender,education,department,job_role,resume_text,skills,job_description,required_skills,experience_years,monthly_income,performance_rating,job_satisfaction,environment_satisfaction,relationship_satisfaction,work_life_balance,training_times_last_year,years_at_company,years_in_current_role,years_since_last_promotion,overtime,business_travel,location,attrition
1,28,Female,M.Sc,IT,Frontend Developer,"Experienced Frontend Developer skilled in HTML, JavaScript, CSS, Bootstrap with 2 years of experience.","HTML, JavaScript, CSS, Bootstrap","We are hiring a Frontend Developer with experience in Angular, CSS, React. Candidate should have strong problem-solving skills.","Angular, CSS, React",2,511237,1,5,5,4,1,0,0,0,0,Yes,No Travel,Pune,No
2,41,Female,M.Tech,IT,Backend Developer,"Experienced Backend Developer skilled in Flask, MongoDB, Django, Docker with 2 years of experience.","Flask, MongoDB, Django, Docker","We are hiring a Backend Developer with experience in MongoDB, Python, Django. Candidate should have strong problem-solving skills.","MongoDB, Python, Django",2,535217,3,1,4,1,1,5,2,0,2,No,No Travel,Bangalore,No
3,35,Female,B.Tech,IT,Frontend Developer,"Experienced Frontend Developer skilled in HTML, CSS, JavaScript, Bootstrap with 3 years of experience.","HTML, CSS, JavaScript, Bootstrap","We are hiring a Frontend Developer with experience in Angular, CSS, Bootstrap. Candidate should have strong problem-solving skills.","Angular, CSS, Bootstrap",3,659840,4,3,3,2,4,5,1,1,0,No,Frequently,Hyderabad,No
4,28,Female,BCA,IT,Machine Learning Engineer,"Experienced Machine Learning Engineer skilled in TensorFlow, Python, Deep Learning, AWS with 12 years of experience.","TensorFlow, Python, Deep Learning, AWS","We are hiring a Machine Learning Engineer with experience in PyTorch, TensorFlow, Python. Candidate should have strong problem-solving skills.","PyTorch, TensorFlow, Python",12,1474259,4,3,2,5,1,3,10,7,6,No,No Travel,Delhi,Yes
5,29,Male,B.Sc,IT,Cloud Engineer,"Experienced Cloud Engineer skilled in Terraform, Linux, Azure, AWS with 2 years of experience.","Terraform, Linux, Azure, AWS","We are hiring a Cloud Engineer with experience in Terraform, Linux, Docker. Candidate should have strong problem-solving skills.","Terraform, Linux, Docker",2,540019,4,1,1,2,1,10,3,0,3,Yes,No Travel,Hyderabad,Yes
6,25,Female,B.Tech,IT,Frontend Developer,"Experienced Frontend Developer skilled in Bootstrap, Angular, JavaScript, React with 5 years of experience.","Bootstrap, Angular, JavaScript, React","We are hiring a Frontend Developer with experience in Bootstrap, Angular, CSS. Candidate should have strong problem-solving skills.","Bootstrap, Angular, CSS",5,758947,3,4,4,1,2,8,6,1,4,No,Rarely,Delhi,No
7,42,Female,BCA,IT,Backend Developer,"Experienced Backend Developer skilled in REST API, Django, MongoDB, Python with 1 years of experience.","REST API, Django, MongoDB, Python","We are hiring a Backend Developer with experience in REST API, Flask, Docker. Candidate should have strong problem-solving skills.","REST API, Flask, Docker",1,484693,3,2,2,5,1,1,2,1,0,Yes,No Travel,Bangalore,Yes
8,23,Male,BCA,IT,DevOps Engineer,"Experienced DevOps Engineer skilled in CI/CD, Linux, Docker, AWS with 11 years of experience.","CI/CD, Linux, Docker, AWS","We are hiring a DevOps Engineer with experience in CI/CD, Kubernetes, Docker. Candidate should have strong problem-solving skills.","CI/CD, Kubernetes, Docker",11,1302757,4,3,5,4,4,3,3,0,2,Yes,Rarely,Ahmedabad,No
9,34,Female,MCA,IT,Backend Developer,"Experienced Backend Developer skilled in Django, Python, Flask, MongoDB with 10 years of experience.","Django, Python, Flask, MongoDB","We are hiring a Backend Developer with experience in Docker, MongoDB, Django. Candidate should have strong problem-solving skills.","Docker, MongoDB, Django",10,1192363,2,5,5,5,2,3,7,6,3,No,Frequently,Hyderabad,No
10,22,Male,BCA,IT,Backend Developer,"Experienced Backend Developer skilled in Docker, Python, REST API, Flask with 11 years of experience.","Docker, Python, REST API, Flask","We are hiring a Backend Developer with experience in Python, MongoDB, Docker. Candidate should have strong problem-solving skills.","Python, MongoDB, Docker",11,1315637,1,2,2,5,2,2,6,1,2,No,Rarely,Bangalore,No
11,27,Male,B.Tech,IT,Data Scientist,"Experienced Data Scientist skilled in Machine Learning, TensorFlow, SQL, Python with 6 years of experience.","Machine Learning, TensorFlow, SQL, Python","We are hiring a Data Scientist with experience in Pandas, TensorFlow, NumPy. Candidate should have strong problem-solving skills.","Pandas, TensorFlow, NumPy",6,892845,2,4,4,3,1,4,6,5,5,No,No Travel,Hyderabad,Yes
12,40,Male,MCA,IT,Backend Developer,"Experienced Backend Developer skilled in Docker, Django, Python, MongoDB with 9 years of experience.","Docker, Django, Python, MongoDB","We are hiring a Backend Developer with experience in REST API, Flask, Python. Candidate should have strong problem-solving skills.","REST API, Flask, Python",9,1187923,5,5,1,5,2,2,1,0,0,Yes,Frequently,Hyderabad,No
13,32,Male,BCA,IT,Full Stack Developer,"Experienced Full Stack Developer skilled in MongoDB, NodeJS, REST API, ExpressJS with 3 years of experience.","MongoDB, NodeJS, REST API, ExpressJS","We are hiring a Full Stack Developer with experience in REST API, MongoDB, React. Candidate should have strong problem-solving skills.","REST API, MongoDB, React",3,650468,4,2,4,3,3,0,3,0,0,Yes,Rarely,Pune,No
14,31,Male,M.Sc,IT,DevOps Engineer,"Experienced DevOps Engineer skilled in Kubernetes, Linux, AWS, CI/CD with 9 years of experience.","Kubernetes, Linux, AWS, CI/CD","We are hiring a DevOps Engineer with experience in CI/CD, Kubernetes, AWS. Candidate should have strong problem-solving skills.","CI/CD, Kubernetes, AWS",9,1170697,5,1,3,1,5,4,1,0,0,Yes,No Travel,Hyderabad,No
15,23,Male,M.Sc,IT,DevOps Engineer,"Experienced DevOps Engineer skilled in CI/CD, Linux, Kubernetes, Docker with 1 years of experience.","CI/CD, Linux, Kubernetes, Docker","We are hiring a DevOps Engineer with experience in CI/CD, Docker, Linux. Candidate should have strong problem-solving skills.","CI/CD, Docker, Linux",1,472309,4,3,1,3,1,10,1,0,1,Yes,No Travel,Ahmedabad,Yes
16,44,Female,BCA,IT,Full Stack Developer,"Experienced Full Stack Developer skilled in REST API, NodeJS, ExpressJS, React with 0 years of experience.","REST API, NodeJS, ExpressJS, React","We are hiring a Full Stack Developer with experience in ExpressJS, React, REST API. Candidate should have strong problem-solving skills.","ExpressJS, React, REST API",0,316299,3,1,2,2,3,5,1,0,0,Yes,Frequently,Hyderabad,No
17,32,Female,B.Tech,IT,Machine Learning Engineer,"Experienced Machine Learning Engineer skilled in TensorFlow, PyTorch, AWS, Python with 6 years of experience.","TensorFlow, PyTorch, AWS, Python","We are hiring a Machine Learning Engineer with experience in TensorFlow, Python, PyTorch. Candidate should have strong problem-solving skills.","TensorFlow, Python, PyTorch",6,902227,4,2,4,3,2,3,3,0,1,No,No Travel,Delhi,No
18,34,Male,BCA,IT,Full Stack Developer,"Experienced Full Stack Developer skilled in React, REST API, NodeJS, ExpressJS with 9 years of experience.","React, REST API, NodeJS, ExpressJS","We are hiring a Full Stack Developer with experience in MongoDB, React, REST API. Candidate should have strong problem-solving skills.","MongoDB, React, REST API",9,1125488,1,1,4,3,5,6,9,8,1,No,No Travel,Delhi,No
19,39,Female,BCA,IT,Machine Learning Engineer,"Experienced Machine Learning Engineer skilled in TensorFlow, Deep Learning, Python, PyTorch with 9 years of experience.","TensorFlow, Deep Learning, Python, PyTorch","We are hiring a Machine Learning Engineer with experience in Deep Learning, PyTorch, TensorFlow. Candidate should have strong problem-solving skills.","Deep Learning, PyTorch, TensorFlow",9,1100144,1,3,3,4,5,6,4,4,1,No,Frequently,Delhi,Yes
20,28,Male,B.Sc,IT,Backend Developer,"Experienced Backend Developer skilled in Django, Docker, Flask, MongoDB with 12 years of experience.","Django, Docker, Flask, MongoDB","We are hiring a Backend Developer with experience in Python, Flask, Django. Candidate should have strong problem-solving skills.","Python, Flask, Django",12,1442196,5,3,4,4,4,8,7,2,1,Yes,Rarely,Ahmedabad,No
21,22,Male,M.Sc,IT,Backend Developer,"Experienced Backend Developer skilled in Flask, MongoDB, Python, Docker with 6 years of experience.","Flask, MongoDB, Python, Docker","We are hiring a Backend Developer with experience in Docker, REST API, MongoDB. Candidate should have strong problem-solving skills.","Docker, REST API, MongoDB",6,893683,5,2,4,4,4,2,0,0,1,Yes,Rarely,Mumbai,No
22,35,Male,M.Sc,IT,Data Scientist,"Experienced Data Scientist skilled in Machine Learning, SQL, NumPy, Pandas with 9 years of experience.","Machine Learning, SQL, NumPy, Pandas","We are hiring a Data Scientist with experience in TensorFlow, Pandas, NumPy. Candidate should have strong problem-solving skills.","TensorFlow, Pandas, NumPy",9,1203327,5,4,4,2,5,7,4,1,2,No,No Travel,Pune,Yes
23,45,Male,M.Tech,IT,Machine Learning Engineer,"Experienced Machine Learning Engineer skilled in TensorFlow, AWS, PyTorch, Python with 2 years of experience.","TensorFlow, AWS, PyTorch, Python","We are hiring a Machine Learning Engineer with experience in PyTorch, Deep Learning, AWS. Candidate should have strong problem-solving skills.","PyTorch, Deep Learning, AWS",2,514496,2,4,2,1,2,6,2,2,1,No,No Travel,Mumbai,No
24,40,Male,B.Sc,IT,Software Engineer,"Experienced Software Engineer skilled in Java, Python, C++, Git with 6 years of experience.","Java, Python, C++, Git","We are hiring a Software Engineer with experience in C++, Git, Java. Candidate should have strong problem-solving skills.","C++, Git, Java",6,909057,5,5,4,2,2,6,7,0,6,No,Frequently,Delhi,Yes
25,32,Male,B.Tech,IT,Backend Developer,"Experienced Backend Developer skilled in Python, MongoDB, Flask, REST API with 2 years of experience.","Python, MongoDB, Flask, REST API","We are hiring a Backend Developer with experience in MongoDB, Python, REST API. Candidate should have strong problem-solving skills.","MongoDB, Python, REST API",2,508065,3,4,2,4,3,5,3,2,3,No,No Travel,Ahmedabad,No
26,39,Male,M.Tech,IT,Backend Developer,"Experienced Backend Developer skilled in Python, Flask, REST API, Docker with 9 years of experience.","Python, Flask, REST API, Docker","We are hiring a Backend Developer with experience in Flask, Django, Python. Candidate should have strong problem-solving skills.","Flask, Django, Python",9,1169415,2,2,1,5,4,7,4,2,1,Yes,Frequently,Delhi,No
